燃えるゴミ,燃えるゴミ: predict=1,score=1.0,diff=0.0
燃えないごみ,燃えるごみ: predict=0,score=0.4721124867598216,diff=0.4721124867598216
燃えるゴミ,燃やすゴミ: predict=1,score=0.8348976969718933,diff=0.1651023030281067
不燃ゴミ,可燃ごみ: predict=0,score=0,diff=0
燃えるごみ,可燃ごみ: predict=1,score=0.6799983829259872,diff=0.32000161707401276
燃えないごみ,不燃ゴミ: predict=1,score=0.6429995000362396,diff=0.3570004999637604
空きカン,カン: predict=1,score=0.5309215653687716,diff=0.46907843463122845
ビン,瓶: predict=1,score=0.5559594035148621,diff=0.44404059648513794
空きカン,空きビン: predict=0,score=0.4750147657468915,diff=0.4750147657468915
大きなゴミ,小さいゴミ: predict=0,score=1.0,diff=1.0
粗大ごみ,大きなゴミ: predict=1,score=0.5734105110168457,diff=0.4265894889831543
生ゴミ,不燃ゴミ: predict=0,score=0.33781276146570843,diff=0.33781276146570843
生ゴミ,可燃ごみ: predict=1,score=0.5811671614646912,diff=0.41883283853530884
非常ゴミ,他のごみ: predict=0,score=0.011113297815124212,diff=0.011113297815124212
ダンボール,新聞紙: predict=1,score=0.4969242811203003,diff=0.5030757188796997
古紙,ダンボール: predict=1,score=0.5924208760261536,diff=0.40757912397384644
紙類,新聞紙: predict=1,score=0.41042662411928177,diff=0.5895733758807182
不要なゴミ,燃えないごみ: predict=0,score=0.4951555132865906,diff=0.4951555132865906
関係あるもの,関係ないもの: predict=0,score=0.3300121972958247,diff=0.3300121972958247
固いごみ,固くないごみ: predict=0,score=0.5123937825361888,diff=0.5123937825361888
私達のごみ,私達以外のごみ: predict=0,score=0.4175147076065724,diff=0.4175147076065724
大きなごみ,巨大なごみ: predict=1,score=0.5980328842997551,diff=0.4019671157002449
大きなごみ,大きいごみ: predict=1,score=1.0,diff=0.0
乾電池,乾電池のごみ: predict=1,score=0.6002578288316727,diff=0.39974217116832733
家電,小型家電: predict=1,score=0.6437313258647919,diff=0.35626867413520813
スプレー,スプレー缶: predict=1,score=0.7636564373970032,diff=0.23634356260299683
カン,スプレー缶: predict=1,score=0.23661189153790474,diff=0.7633881084620953
段ボール,紙類: predict=1,score=0.36490100622177124,diff=0.6350989937782288
衣類,割れ物: predict=0,score=0,diff=0
percent=0.6206896551724138,diff_average=0.3774073150274068
