燃えるゴミ,燃えるゴミ: predict=1,score=1.0,diff=0.0
燃えないごみ,燃えるごみ: predict=0,score=0.2358674208323161,diff=0.2358674208323161
燃えるゴミ,燃やすゴミ: predict=1,score=0.9141814112663269,diff=0.0858185887336731
不燃ゴミ,可燃ごみ: predict=0,score=0.19401498635609948,diff=0.19401498635609948
燃えるごみ,可燃ごみ: predict=1,score=0.6889813542366028,diff=0.3110186457633972
燃えないごみ,不燃ゴミ: predict=1,score=0.5356960296630859,diff=0.46430397033691406
空きカン,カン: predict=1,score=0.645096480846405,diff=0.35490351915359497
ビン,瓶: predict=1,score=0.5559594035148621,diff=0.44404059648513794
空きカン,空きビン: predict=0,score=0.8947035670280457,diff=0.8947035670280457
大きなゴミ,小さいゴミ: predict=0,score=0.7862496376037598,diff=0.7862496376037598
粗大ごみ,大きなゴミ: predict=1,score=0.30513858795166016,diff=0.6948614120483398
生ゴミ,不燃ゴミ: predict=0,score=0.32646797100702923,diff=0.32646797100702923
生ゴミ,可燃ごみ: predict=1,score=0.5477344989776611,diff=0.45226550102233887
非常ゴミ,他のごみ: predict=0,score=0.24867765108744305,diff=0.24867765108744305
ダンボール,新聞紙: predict=1,score=0.4969242811203003,diff=0.5030757188796997
古紙,ダンボール: predict=1,score=0.5924208760261536,diff=0.40757912397384644
紙類,新聞紙: predict=1,score=0.5426663756370544,diff=0.45733362436294556
不要なゴミ,燃えないごみ: predict=0,score=0.6464214324951172,diff=0.6464214324951172
関係あるもの,関係ないもの: predict=0,score=0.4585578838984172,diff=0.4585578838984172
固いごみ,固くないごみ: predict=0,score=0.27608267466227215,diff=0.27608267466227215
私達のごみ,私達以外のごみ: predict=0,score=0.9388660788536072,diff=0.9388660788536072
大きなごみ,巨大なごみ: predict=1,score=0.703279435634613,diff=0.29672056436538696
大きなごみ,大きいごみ: predict=1,score=0.7558780312538147,diff=0.2441219687461853
乾電池,乾電池のごみ: predict=1,score=0.4383855164051056,diff=0.5616144835948944
家電,小型家電: predict=1,score=0.7002559900283813,diff=0.29974400997161865
スプレー,スプレー缶: predict=1,score=0.8152475953102112,diff=0.18475240468978882
カン,スプレー缶: predict=1,score=0.24332909286022186,diff=0.7566709071397781
段ボール,紙類: predict=1,score=0.48553428053855896,diff=0.514465719461441
衣類,割れ物: predict=0,
percent=0.4827586206896552,diff_average=0.41514482974321
